"Species" "Family" "Lifeform" "N" "Hemicellulose" "Cellulose" "Lignin" "LamWS" "LamFT" "VeinFT" "LamD" "LamT"
"90" "Lacistema_aggregatum" "Salicaceae" "SHRUB" 7 167.417 269.546 175.604 0.084 418.15 3151.2 0.223 0.204
"91" "Lacmella_panamensis" "Apocynaceae" "TREE" 7 265.247 134.381 245.814 0.032 225.496 2110.258 0.241 0.15
"92" "Laetia_procera" "Salicaceae" "TREE" 4 141.641 189.219 242.689 0.048 421.7 3613.35 0.324 0.115
"93" "Laetia_thamnia" "Salicaceae" "UNDERSTORY" 11 124.191 143.811 49.353 0.074 400.905 2694.175 0.329 0.185
"94" "Licania_hypoleuca" "Chrysobalanaceae" "MIDSTORY" 10 159.915 281.137 258.767 0.068 506.054 4494.944 0.344 0.135
"95" "Licania_platypus" "Chrysobalanaceae" "TREE" 12 158.215 285.436 254.568 0.107 646.375 5283.171 0.343 0.163
"96" "Lindackeria_laurina" "Salicaceae" "UNDERSTORY" 8 141.779 207.634 190.017 0.082 553.183 4287.583 0.34 0.15
"97" "Lonchocarpus_heptaphyllus" "Fabaceae" "TREE" 4 211.567 211.356 143.007 0.044 288.15 2499.475 0.219 0.153
"98" "Luehea_seemannii" "Malvaceae" "TREE" 3 169.912 211.427 190.456 0.06 521.988 3426.55 0.252 0.105
"99" "Macrocnemum_roseum" "Rubiaceae" "UNDERSTORY" 7 132.396 171.287 306.578 0.061 301.19 1904.798 0.196 0.198
"100" "Malpighia_romeroana" "Malpighiaceae" "SHRUB" 6 186.824 229.163 79.742 0.052 288.85 1973.166 0.223 0.181
"101" "Maquira_guianensis" "Moraceae" "MIDSTORY" 10 244.86 225.961 125.234 0.052 316.258 3571.553 0.28 0.162
"102" "Marila_laxiflora" "Clusiaceae" "MIDSTORY" 11 172.274 237.649 183.348 0.072 593.363 3965.325 0.328 0.123
"103" "Miconia_affinis" "Melastomataceae" "SHRUB" 10 137.865 76.923 92.265 0.031 281.535 1124.296 0.324 0.109
"104" "Miconia_argentea" "Melastomataceae" "UNDERSTORY" 4 111.8 186.609 107.254 0.046 245.458 1341.171 0.225 0.19
"105" "Miconia_elata" "Melastomataceae" "UNDERSTORY" 9 159.114 202.173 332.787 0.06 352.855 1397.291 0.275 0.169
"106" "Miconia_hondurensis" "Melastomataceae" "UNDERSTORY" 10 130.532 131.144 122.578 0.056 240.638 1541.469 0.241 0.231
"107" "Miconia_impetiolaris" "Melastomataceae" "SHRUB" 5 127.403 135.221 169.871 0.06 391.03 1241.47 0.222 0.143
