Species,Family,Lifeform,N,Hemicellulose,Cellulose,Lignin,LamWS,LamFT,VeinFT,LamD,LamT
Chrysochlamys_eclipes,Clusiaceae,UNDERSTORY,4,127.642,170.935,179.472,0.140,492.563,2730.988,0.283,0.290
Chrysophyllum_argenteum,Sapotaceae,TREE,7,93.782,151.668,222.700,0.077,431.183,3214.425,0.299,0.184
Chrysophyllum_cainito,Sapotaceae,TREE,4,109.754,204.972,229.829,0.053,335.880,2268.196,0.251,0.161
Cinnamomum_triplinerve,Lauraceae,TREE,4,167.856,242.186,147.182,0.055,369.200,3590.083,0.307,0.145
Coccoloba_coronata,Polygonaceae,UNDERSTORY,9,218.672,171.784,153.320,0.036,271.300,1943.601,0.210,0.133
Coccoloba_manzinellensis,Polygonaceae,MIDSTORY,11,125.417,260.059,232.777,0.091,752.067,3147.296,0.295,0.119
Conostegia_cinnamomea,Melastomataceae,SHRUB,4,138.305,173.089,143.720,0.024,251.013,1314.788,0.197,0.100
Cordia_bicolor,Boraginaceae,MIDSTORY,4,146.167,274.010,214.195,0.077,427.390,2813.560,0.222,0.174
Cordia_lasiocalyx,Boraginaceae,UNDERSTORY,7,181.610,194.924,203.037,0.069,424.367,2645.900,0.333,0.161
Coussarea_curvigemmia,Rubiaceae,UNDERSTORY,10,105.027,131.284,100.763,0.036,210.306,2329.523,0.234,0.170
Cupania_cinerea,Sapindaceae,MIDSTORY,6,114.834,203.310,265.631,0.088,501.793,2375.471,0.313,0.175
Cupania_latifolia,Sapindaceae,UNDERSTORY,8,125.538,263.385,281.641,0.074,467.108,3718.883,0.317,0.157
Cupania_rufescens,Sapindaceae,UNDERSTORY,9,135.163,253.942,296.744,0.099,573.328,2732.571,0.288,0.170
Cupania_seemannii,Sapindaceae,UNDERSTORY,10,177.760,226.258,197.037,0.058,510.100,3696.942,0.311,0.112
Dendropanax_arboreus,Araliaceae,TREE,8,102.731,192.010,187.933,0.066,321.757,3391.139,0.260,0.202
Desmopsis_panamensis,Annonaceae,UNDERSTORY,10,186.731,283.747,137.909,0.082,486.071,3137.538,0.261,0.170
Diospyros_artanthifolia,Ebenaceae,UNDERSTORY,8,92.530,159.759,310.361,0.040,271.138,2842.450,0.414,0.146
Dipteryx_oleifera,Fabaceae,TREE,4,187.331,205.815,202.492,0.038,291.400,3666.525,0.220,0.133
Erythroxylum_macrophyllum,Erythroxylaceae,SHRUB,8,167.486,249.386,186.323,0.110,463.385,3083.075,0.323,0.232
Erythroxylum_panamense,Erythroxylaceae,SHRUB,10,322.450,157.980,91.057,0.037,297.129,3358.259,0.294,0.127
Eugenia_coloradoensis,Myrtaceae,UNDERSTORY,9,193.391,269.005,147.578,0.095,426.334,3262.408,0.342,0.224
Eugenia_galalonensis,Myrtaceae,MIDSTORY,10,119.858,161.620,268.741,0.060,379.555,2481.300,0.346,0.157
Eugenia_oerstediana,Myrtaceae,UNDERSTORY,8,207.705,258.867,155.728,0.064,554.188,4015.808,0.374,0.116
Faramea_occidentalis,Rubiaceae,UNDERSTORY,11,99.393,172.630,120.109,0.056,428.203,4034.300,0.385,0.131
Ficus_insipida,Moraceae,TREE,9,108.042,170.043,90.035,0.073,409.911,4617.164,0.297,0.176
Ficus_maxima,Moraceae,MIDSTORY,3,123.919,167.353,109.304,0.049,341.650,3286.850,0.213,0.143
Ficus_tonduzii,Moraceae,UNDERSTORY,9,146.695,230.633,78.055,0.110,546.896,5652.029,0.285,0.200
Garcinia_intermedia,Clusiaceae,TREE,9,135.790,259.365,254.479,0.131,525.471,4712.213,0.374,0.249
Garcinia_madruno,Clusiaceae,TREE,10,125.000,233.953,168.243,0.165,761.542,6209.950,0.368,0.218
Genipa_americana,Rubiaceae,TREE,5,117.572,186.969,137.309,0.036,299.885,1943.865,0.216,0.117
Guapira_standleyana,Nyctaginaceae,TREE,5,243.309,121.554,145.100,0.041,230.183,1314.025,0.162,0.186
Guarea_grandifolia,Meliaceae,TREE,6,222.046,214.697,179.146,0.063,315.780,3281.940,0.199,0.200
Guarea_guidonia,Meliaceae,MIDSTORY,5,164.061,209.923,267.459,0.058,360.661,2814.546,0.261,0.165
Guatteria_dumetorum,Annonaceae,TREE,6,168.697,194.328,157.143,0.063,451.729,2887.096,0.300,0.140
Guazuma_ulmifolia,Malvaceae,MIDSTORY,4,388.956,139.137,85.604,0.024,193.675,1894.617,0.265,0.128
Guettarda_foliacea,Rubiaceae,UNDERSTORY,10,233.896,231.051,100.996,0.033,320.386,1883.073,0.235,0.102
Gustavia_superba,Lecythidaceae,UNDERSTORY,6,179.524,233.279,165.572,0.069,517.069,3094.025,0.291,0.133
Hamelia_axillaris,Rubiaceae,SHRUB,4,122.288,115.057,208.635,0.031,217.575,1614.950,0.198,0.143
Hampea_appendiculata,Malvaceae,UNDERSTORY,6,110.497,140.782,247.749,0.046,289.625,1396.375,0.204,0.159
Heisteria_acuminata,Olacaceae,TREE,11,103.003,187.817,102.369,0.107,562.981,5911.814,0.353,0.194
Heisteria_concinna,Olacaceae,MIDSTORY,8,139.235,194.030,210.182,0.148,728.463,4511.633,0.429,0.197
Herrania_purpurea,Malvaceae,SHRUB,11,223.067,287.007,144.634,0.042,378.905,2473.568,0.193,0.111
Hieronyma_alchorneoides,Euphorbiaceae,TREE,5,116.505,191.748,236.853,0.055,310.754,2523.950,0.170,0.179
Hirtella_americana,Chrysobalanaceae,MIDSTORY,8,195.357,211.462,157.080,0.074,477.225,2446.250,0.274,0.154
Hirtella_triandra,Chrysobalanaceae,MIDSTORY,8,158.007,198.680,154.813,0.056,429.375,2754.540,0.324,0.127
Hura_crepitans,Euphorbiaceae,TREE,2,160.355,156.213,58.777,0.019,204.800,2148.300,0.187,0.095
Hybanthus_prunifolius,Violaceae,SHRUB,5,197.314,163.737,113.026,0.061,428.638,3680.125,0.254,0.134
Inga_acuminata,Fabaceae,UNDERSTORY,14,147.394,249.593,264.454,0.052,509.872,3616.180,0.360,0.101
Inga_goldmanii,Fabaceae,MIDSTORY,6,157.134,255.582,291.516,0.072,555.750,3183.883,0.308,0.133
Inga_marginata,Fabaceae,UNDERSTORY,4,135.754,263.615,248.076,0.074,484.850,2820.625,0.291,0.153
Inga_nobilis,Fabaceae,UNDERSTORY,7,123.389,223.326,334.249,0.075,496.325,2694.017,0.342,0.152
Inga_pezizifera,Fabaceae,TREE,9,150.725,216.563,277.019,0.053,518.071,3367.517,0.309,0.103
Inga_punctata,Fabaceae,UNDERSTORY,3,117.599,206.813,337.591,0.088,569.350,2648.575,0.396,0.155
Inga_sapindoides,Fabaceae,UNDERSTORY,8,188.920,195.008,185.674,0.050,390.038,3259.106,0.306,0.126
Inga_spectabilis,Fabaceae,TREE,7,129.815,226.431,301.979,0.070,461.438,3567.040,0.350,0.148
Inga_umbellifera,Fabaceae,UNDERSTORY,10,170.630,258.026,231.916,0.068,537.288,8546.350,0.363,0.126
Jacaranda_copaia,Bignoniaceae,TREE,5,95.995,118.198,185.024,0.018,255.575,2664.750,0.385,0.078
Lacistema_aggregatum,Salicaceae,SHRUB,7,167.417,269.546,175.604,0.084,418.150,3151.200,0.223,0.204
Lacmella_panamensis,Apocynaceae,TREE,7,265.247,134.381,245.814,0.032,225.496,2110.258,0.241,0.150
Laetia_procera,Salicaceae,TREE,4,141.641,189.219,242.689,0.048,421.700,3613.350,0.324,0.115
Laetia_thamnia,Salicaceae,UNDERSTORY,11,124.191,143.811,49.353,0.074,400.905,2694.175,0.329,0.185
Licania_hypoleuca,Chrysobalanaceae,MIDSTORY,10,159.915,281.137,258.767,0.068,506.054,4494.944,0.344,0.135
Licania_platypus,Chrysobalanaceae,TREE,12,158.215,285.436,254.568,0.107,646.375,5283.171,0.343,0.163
Lindackeria_laurina,Salicaceae,UNDERSTORY,8,141.779,207.634,190.017,0.082,553.183,4287.583,0.340,0.150
Lonchocarpus_heptaphyllus,Fabaceae,TREE,4,211.567,211.356,143.007,0.044,288.150,2499.475,0.219,0.153
Luehea_seemannii,Malvaceae,TREE,3,169.912,211.427,190.456,0.060,521.988,3426.550,0.252,0.105
Macrocnemum_roseum,Rubiaceae,UNDERSTORY,7,132.396,171.287,306.578,0.061,301.190,1904.798,0.196,0.198
Malpighia_romeroana,Malpighiaceae,SHRUB,6,186.824,229.163,79.742,0.052,288.850,1973.166,0.223,0.181
Maquira_guianensis,Moraceae,MIDSTORY,10,244.860,225.961,125.234,0.052,316.258,3571.553,0.280,0.162
Marila_laxiflora,Clusiaceae,MIDSTORY,11,172.274,237.649,183.348,0.072,593.363,3965.325,0.328,0.123
Miconia_affinis,Melastomataceae,SHRUB,10,137.865,76.923,92.265,0.031,281.535,1124.296,0.324,0.109
Miconia_argentea,Melastomataceae,UNDERSTORY,4,111.800,186.609,107.254,0.046,245.458,1341.171,0.225,0.190
Miconia_elata,Melastomataceae,UNDERSTORY,9,159.114,202.173,332.787,0.060,352.855,1397.291,0.275,0.169
Miconia_hondurensis,Melastomataceae,UNDERSTORY,10,130.532,131.144,122.578,0.056,240.638,1541.469,0.241,0.231
Miconia_impetiolaris,Melastomataceae,SHRUB,5,127.403,135.221,169.871,0.060,391.030,1241.470,0.222,0.143
Miconia_nervosa,Melastomataceae,SHRUB,5,186.071,180.356,93.353,0.034,255.500,1143.038,0.169,0.129
Morinda_seibertii,Rubiaceae,SHRUB,2,126.068,127.735,71.056,0.017,261.675,1503.950,0.182,0.065
Mosannona_garwoodii,Annonaceae,MIDSTORY,11,187.082,224.539,88.075,0.076,512.558,3436.935,0.395,0.148
Mouriri_myrtilloides,Melastomataceae,SHRUB,5,118.401,59.842,161.573,0.040,280.650,1907.158,0.482,0.140
Myrcia_gatunensis,Myrtaceae,UNDERSTORY,11,161.810,244.345,90.279,0.132,747.938,3174.125,0.335,0.176
Myrospermum_frutescens,Fabaceae,LIANA,3,175.745,111.614,54.060,0.029,403.500,2795.133,0.299,0.080
Nectandra_cissiflora,Lauraceae,TREE,9,140.064,238.009,257.557,0.102,628.469,3935.381,0.307,0.161
Nectandra_lineata,Lauraceae,MIDSTORY,7,140.590,205.086,227.467,0.059,460.123,2935.765,0.340,0.130
Nectandra_umbrosa,Lauraceae,MIDSTORY,6,274.112,133.807,166.091,0.074,504.925,3525.442,0.490,0.145
Neea_amplifolia,Nyctaginaceae,SHRUB,5,197.286,193.437,162.649,0.053,246.175,1891.900,0.172,0.215
Ocotea_cernua,Lauraceae,MIDSTORY,8,171.381,217.970,191.764,0.076,471.778,3731.167,0.329,0.162
Ocotea_oblonga,Lauraceae,TREE,4,106.642,144.627,264.676,0.064,393.150,2122.063,0.272,0.161
Ocotea_puberula,Lauraceae,TREE,5,195.824,180.215,165.417,0.044,361.225,3079.435,0.327,0.122
Ormosia_coccinea,Fabaceae,TREE,8,124.164,269.192,200.729,0.114,713.667,5025.608,0.355,0.160
Ormosia_macrocalyx,Fabaceae,TREE,7,180.893,247.560,178.816,0.080,479.379,4580.588,0.256,0.168
Ouratea_lucens,Ochnaceae,SHRUB,4,136.251,223.144,214.019,0.111,549.213,5451.813,0.447,0.201
Palicourea_guianensis,Rubiaceae,SHRUB,3,138.060,140.980,114.077,0.020,234.500,2899.900,0.327,0.085
Pentagonia_macrophylla,Rubiaceae,SHRUB,7,143.664,348.390,240.694,0.130,494.585,3282.498,0.212,0.262
Perebea_xanthochyma,Moraceae,UNDERSTORY,10,266.205,188.169,167.611,0.048,383.732,3551.214,0.296,0.123
Picramnia_latifolia,Simaroubaceae,UNDERSTORY,4,172.477,137.203,93.314,0.062,425.540,3940.600,0.361,0.148
Piper_aequale,Piperaceae,SHRUB,4,107.635,168.553,103.313,0.063,365.925,2467.125,0.239,0.173
Piper_arboreum,Piperaceae,SHRUB,4,178.700,187.169,160.279,0.046,281.600,2414.700,0.202,0.163
Piper_carrilloanum,Piperaceae,SHRUB,1,103.701,108.509,167.050,0.014,143.150,951.600,0.260,0.100
Piper_colonense,Piperaceae,SHRUB,2,155.662,184.079,136.649,0.050,323.050,2003.775,0.197,0.155
Piper_cordulatum,Piperaceae,SHRUB,5,133.139,192.012,204.493,0.118,355.529,2709.375,0.175,0.334
Piper_perlasense,Piperaceae,SHRUB,7,119.803,193.324,124.309,0.050,353.057,2554.860,0.247,0.142
Piper_reticulatum,Piperaceae,SHRUB,7,125.953,196.020,100.127,0.050,393.095,2402.530,0.252,0.126
Platymiscium_pinnatum,Fabaceae,TREE,2,165.389,208.290,107.565,0.033,241.850,3503.375,0.224,0.133
Platypodium_elegans,Fabaceae,TREE,3,162.254,187.338,176.339,0.037,318.713,2776.463,0.249,0.116
Posoqueria_latifolia,Rubiaceae,SHRUB,8,174.291,181.329,115.297,0.066,305.913,2468.967,0.239,0.212
Poulsenia_armata,Moraceae,TREE,5,151.985,201.199,116.832,0.059,401.800,2732.261,0.265,0.149
Pourouma_bicolor,Urticaceae,TREE,3,130.612,281.633,269.796,0.061,421.775,2723.500,0.213,0.139
Pouteria_reticulata,Sapotaceae,TREE,6,135.473,196.123,215.506,0.051,364.030,2730.167,0.331,0.139
Pouteria_stipitata,Sapotaceae,TREE,5,162.123,163.362,199.504,0.043,434.100,2776.488,0.483,0.100
Protium_costaricense,Burseraceae,TREE,8,160.227,238.924,232.045,0.049,469.238,2979.238,0.262,0.103
Protium_panamense,Burseraceae,TREE,8,161.303,254.990,152.342,0.069,491.613,4069.800,0.360,0.143
Pseudobombax_septenatum,Malvaceae,TREE,3,218.388,215.232,176.941,0.040,296.175,1606.258,0.244,0.128
Psidium_friedrichsthalianum,Myrtaceae,UNDERSTORY,7,124.636,164.936,113.419,0.047,429.150,3225.075,0.268,0.112
Psychotria_acuminata,Rubiaceae,SHRUB,3,148.882,178.406,109.447,0.022,324.780,2503.940,0.272,0.070
Psychotria_chagrensis,Rubiaceae,SHRUB,5,184.134,194.905,134.424,0.077,283.350,3337.044,0.144,0.274
Psychotria_deflexa,Rubiaceae,SHRUB,4,181.780,208.107,68.533,0.038,260.892,2045.483,0.243,0.145
Psychotria_grandis,Rubiaceae,SHRUB,9,98.690,193.998,171.175,0.055,261.483,2284.391,0.252,0.212
Psychotria_horizontalis,Rubiaceae,SHRUB,4,176.954,186.644,136.507,0.041,266.988,2291.313,0.256,0.150
Psychotria_limonensis,Rubiaceae,SHRUB,5,69.998,140.211,206.978,0.083,445.753,1876.995,0.215,0.189
Psychotria_marginata,Rubiaceae,SHRUB,3,83.714,141.462,138.139,0.050,290.488,2683.988,0.309,0.173
Pterocarpus_rohrii,Fabaceae,TREE,7,208.867,257.617,203.404,0.034,333.587,2809.236,0.208,0.104
Quassia_amara,Simaroubaceae,UNDERSTORY,12,119.627,210.883,59.073,0.046,379.834,3102.741,0.300,0.124
Randia_armata,Rubiaceae,UNDERSTORY,7,267.854,196.044,60.138,0.047,369.736,2162.068,0.280,0.126
Rinorea_sylvatica,Violaceae,SHRUB,6,245.999,210.505,131.104,0.054,443.050,1818.379,0.292,0.119
Sapium_glandulosum,Euphorbiaceae,MIDSTORY,2,139.123,205.523,60.708,0.028,250.050,2134.900,0.189,0.118
Schizolobium_parahyba,Fabaceae,TREE,5,165.531,232.198,98.452,0.034,355.311,3921.978,0.228,0.092
Senna_dariensis,Fabaceae,SHRUB,2,132.793,189.318,78.969,0.109,728.300,4144.250,0.297,0.150
Siparuna_guianensis,Monimiaceae,SHRUB,6,217.543,179.540,100.863,0.066,386.400,3551.200,0.217,0.170
Siparuna_pauciflora,Monimiaceae,SHRUB,10,151.610,248.013,171.058,0.072,311.550,1765.190,0.175,0.230
Solanum_hayesii,Solanaceae,SHRUB,3,174.979,225.482,123.638,0.022,200.850,2102.150,0.184,0.110
Sorocea_affinis,Moraceae,SHRUB,2,161.217,174.669,81.126,0.051,401.575,3588.075,0.294,0.130
Spondias_mombin,Anacardiaceae,TREE,2,94.744,190.136,126.758,0.033,248.000,2813.025,0.221,0.128
Spondias_radlkoferi,Anacardiaceae,TREE,4,81.227,124.807,70.655,0.024,156.914,1419.896,0.242,0.141
Sterculia_apetala,Malvaceae,TREE,3,281.431,222.746,110.302,0.026,313.925,3221.225,0.256,0.083
Stylogyne_turbacensis,Myrsinaceae,UNDERSTORY,5,71.950,179.145,305.527,0.143,503.367,2420.617,0.340,0.282
Swartzia_simplex var_grandiflora,Fabaceae,UNDERSTORY,10,134.372,203.323,175.493,0.087,540.028,5185.294,0.432,0.163
Swartzia_simplex var_ochnacea,Fabaceae,UNDERSTORY,10,126.601,216.439,183.189,0.105,654.891,6228.596,0.465,0.161
Symphonia_globulifera,Clusiaceae,TREE,7,196.095,218.770,109.805,0.064,303.738,4383.588,0.236,0.211
Tabebuia_guayacan,Bignoniaceae,TREE,1,155.431,205.160,137.744,0.017,164.850,2151.300,0.175,0.100
Tabebuia_rosea,Bignoniaceae,TREE,2,115.393,255.346,193.098,0.062,410.450,2530.950,0.196,0.150
Tabernaemontana_arborea,Apocynaceae,TREE,4,240.170,165.143,84.591,0.035,200.817,1980.333,0.165,0.173
Tachigali_versicolor,Fabaceae,TREE,4,131.512,238.035,260.271,0.065,542.975,4285.975,0.339,0.119
Talisia_croatii,Sapindaceae,UNDERSTORY,12,146.486,188.896,213.686,0.071,681.091,6544.587,0.461,0.108
Terminalia_amazonia,Combretaceae,TREE,7,169.218,162.202,87.372,0.055,449.143,3257.652,0.354,0.128
Terminalia_oblonga,Combretaceae,UNDERSTORY,6,153.911,212.847,69.536,0.040,404.392,2767.425,0.236,0.098
Thevetia_ahouai,Apocynaceae,SHRUB,9,127.576,182.469,111.521,0.055,214.468,2856.240,0.133,0.258
Trattinnickia_aspera,Burseraceae,TREE,6,132.933,179.031,82.333,0.052,343.900,2781.100,0.229,0.143
Trichanthera_gigantea,Acanthaceae,UNDERSTORY,3,145.400,185.503,126.314,0.042,347.250,2944.917,0.179,0.122
Trichilia_pallida,Meliaceae,MIDSTORY,8,217.514,206.703,174.703,0.045,351.686,2631.120,0.303,0.130
Trichilia_tuberculata,Meliaceae,TREE,5,168.103,163.147,255.388,0.053,340.510,2444.080,0.324,0.152
Triplaris_cumingiana,Polygonaceae,MIDSTORY,6,182.791,209.974,129.495,0.034,393.075,2224.817,0.325,0.091
Trophis_caucana,Moraceae,UNDERSTORY,11,118.314,192.261,76.580,0.052,528.502,3086.419,0.236,0.100
Trophis_racemosa,Moraceae,MIDSTORY,4,139.709,182.744,67.775,0.057,449.225,3088.975,0.245,0.128
Turpinia_occidentalis,Staphyleaceae,UNDERSTORY,4,164.302,181.173,107.937,0.039,286.492,2666.433,0.218,0.138
Unonopsis_pittieri,Annonaceae,MIDSTORY,4,149.317,247.014,279.437,0.044,315.550,2926.950,0.293,0.138
Virola_multiflora,Myristicaceae,MIDSTORY,5,83.864,186.837,207.431,0.066,398.900,2079.200,0.250,0.165
Virola_nobilis,Myristicaceae,TREE,5,85.882,180.142,247.591,0.057,409.620,2154.400,0.289,0.140
Virola_sebifera,Myristicaceae,TREE,7,108.956,154.973,189.847,0.047,288.800,2089.219,0.307,0.164
Vismia_baccifera,Clusiaceae,SHRUB,8,146.895,232.762,246.681,0.069,352.781,2574.269,0.245,0.194
Vochysia_ferruginea,Vochysiaceae,TREE,7,90.929,147.208,131.097,0.081,461.225,3197.572,0.269,0.176
Xylosma_oligandra,Salicaceae,UNDERSTORY,4,142.497,159.941,109.710,0.032,260.175,2309.150,0.224,0.125
Zanthoxylum_ekmanii,Rutaceae,TREE,2,225.719,141.726,159.025,0.031,237.650,2915.850,0.269,0.125
Zanthoxylum_juniperinum,Rutaceae,TREE,4,239.126,164.951,111.578,0.067,339.533,2986.233,0.332,0.200
Zanthoxylum_panamense,Rutaceae,MIDSTORY,6,348.712,182.045,96.426,0.029,237.500,2397.942,0.232,0.124
Zuelania_guidonia,Salicaceae,TREE,5,129.478,180.599,154.410,0.064,421.410,2395.178,0.224,0.149
